0,1,2,3,4,5,8,9,Sheet,Month,Year
2025-12-01 00:00:00,Monday,08:10:00,17:05:00,08:45:00,17:02:00,08:29:00,17:18:00,Dec 2025,December,2025
2025-12-02 00:00:00,Tuesday,10:55:00,17:11:00,08:43:00,17:21:00,08:29:00,17:13:00,Dec 2025,December,2025
2025-12-03 00:00:00,Wednesday,08:07:00,17:04:00,09:48:00,17:02:00,08:32:00,17:34:00,Dec 2025,December,2025
2025-12-04 00:00:00,Thursday,08:04:00,17:06:00,08:36:00,17:02:00,08:29:00,17:10:00,Dec 2025,December,2025
2025-12-05 00:00:00,Friday,08:08:00,,11:32:00,,08:12:00,17:27:00,Dec 2025,December,2025
2025-11-01 00:00:00,Saturday,,,,,,,Nov 2025,November,2025
2025-11-02 00:00:00,Sunday,,,,,,,Nov 2025,November,2025
2025-11-03 00:00:00,Monday,08:07:00,17:09:00,08:43:00,17:09:00,08:28:00,17:07:00,Nov 2025,November,2025
2025-11-04 00:00:00,Tuesday,08:09:00,17:05:00,09:23:00,17:30:00,08:40:00,17:12:00,Nov 2025,November,2025
2025-11-05 00:00:00,Wednesday,08:13:00,17:08:00,08:48:00,17:36:00,08:29:00,17:07:00,Nov 2025,November,2025
2025-11-06 00:00:00,Thursday,08:11:00,17:10:00,09:23:00,15:30:00,08:30:00,17:10:00,Nov 2025,November,2025
2025-11-07 00:00:00,Friday,08:11:00,17:09:00,,,08:24:00,17:10:00,Nov 2025,November,2025
2025-11-08 00:00:00,Saturday,,,,,,,Nov 2025,November,2025
2025-11-09 00:00:00,Sunday,,,,,,,Nov 2025,November,2025
2025-11-10 00:00:00,Monday,08:05:00,17:11:00,08:42:00,17:34:00,08:30:00,17:14:00,Nov 2025,November,2025
2025-11-11 00:00:00,Tuesday,08:10:00,17:10:00,08:33:00,17:14:00,08:41:00,17:15:00,Nov 2025,November,2025
2025-11-12 00:00:00,Wednesday,08:04:00,17:04:00,08:44:00,17:36:00,08:33:00,17:10:00,Nov 2025,November,2025
2025-11-13 00:00:00,Thursday,08:12:00,17:00:00,08:30:00,17:25:00,,,Nov 2025,November,2025
2025-11-14 00:00:00,Friday,08:09:00,17:16:00,09:33:00,19:27:00,,,Nov 2025,November,2025
2025-11-15 00:00:00,Saturday,,,,,,,Nov 2025,November,2025
2025-11-16 00:00:00,Sunday,,,,,,,Nov 2025,November,2025
2025-11-17 00:00:00,Monday,08:02:00,16:51:00,09:22:00,17:00:00,08:22:00,16:03:00,Nov 2025,November,2025
2025-11-18 00:00:00,Tuesday,08:05:00,17:14:00,09:15:00,17:28:00,08:27:00,17:35:00,Nov 2025,November,2025
2025-11-19 00:00:00,Wednesday,08:10:00,17:07:00,,,08:27:00,17:13:00,Nov 2025,November,2025
2025-11-20 00:00:00,Thursday,08:12:00,17:06:00,08:38:00,17:05:00,08:33:00,17:23:00,Nov 2025,November,2025
2025-11-21 00:00:00,Friday,08:11:00,17:11:00,08:43:00,17:01:00,08:23:00,17:08:00,Nov 2025,November,2025
2025-11-22 00:00:00,Saturday,,,,,,,Nov 2025,November,2025
2025-11-23 00:00:00,Sunday,,,,,,,Nov 2025,November,2025
2025-11-24 00:00:00,Monday,08:00:00,17:13:00,08:56:00,17:34:00,08:40:00,17:11:00,Nov 2025,November,2025
2025-11-25 00:00:00,Tuesday,08:03:00,17:13:00,08:39:00,17:21:00,08:23:00,17:17:00,Nov 2025,November,2025
2025-11-26 00:00:00,Wednesday,08:06:00,17:10:00,08:50:00,17:26:00,08:26:00,17:14:00,Nov 2025,November,2025
2025-11-27 00:00:00,Thursday,08:00:00,17:05:00,10:55:00,17:24:00,08:26:00,17:05:00,Nov 2025,November,2025
2025-11-28 00:00:00,Friday,08:06:00,19:12:00,09:00:00,,08:55:00,17:58:00,Nov 2025,November,2025
2025-11-29 00:00:00,Saturday,,,,,,,Nov 2025,November,2025
2025-11-30 00:00:00,Sunday,,,,,,,Nov 2025,November,2025
2025-10-01 00:00:00,Wednesday,,,,,,,October  2025,October,2025
